ProductName,Category,SubCategory
waffy wafers   vanilla flavoured  creamy   crunchy,5,70
namkeen   aloo bhujia,5,65
aloo bhujia,5,65
khatta meetha,5,65
namkeen   khatta meetha,5,65
penne pasta,5,98
waffy wafers   strawberry flavoured  creamy   crunchy,5,70
khara boondi,5,65
namkeen   khara boondi,5,65
waffy chocolate flavoured wafer roll   creamy,5,70
waffy wafers   pineapple flavoured  creamy   crunchy,5,70
rings   tomato twist,5,75
farmlite biscuit   oats   raisins,5,89
quinoa muesli   with nuts   seeds,5,82
handmade bhujia sev namkeen aloo bhujia mint masala namkeen khatta meetha     g ,5,65
cookies   chocolate chip,5,79
red velvet sandwich biscuit   limited edition  yummy treat,5,70
chocobakes choc filled cookies biscuits   family pack,5,70
cookies   assorted flavours  tasty teatime snack,5,79
namkeen   aloo bhujia      g   khatta meetha      g   moong dal      g,5,65
perk   chocolate  home treats,5,58
oats breakfast cereal  rich in protein  dietary fibre  nutritious  easy to cook,5,27
dipped cookie     g   chocobakes choc filled cookies biscuits family pack     g,5,70
cookies   honey oatmeal,5,79
muesli       nuts delight  multigrain breakfast cereal  high in iron   fibre  naturally cholesterol free,5,82
little millet noodles   no maida  not fried,5,6
potato chips   indian masala,5,75
oreo   vanilla  jumbo pack,5,70
potato stix   aloo chat,5,75
good day chocochip cookies,5,79
millet pancake combo   banana  chocolate  blueberry   classic      g each ,5,7
elbow pasta,5,98
foxtail millet noodles   no maida  not fried,5,6
puff   pastry sheet,5,114
bb royal organic  kashmir honey      g   emperia green tea   honey lemon     g,5,33
organic himalayan kashmir honey,5,33
royal organic wild honey    g indisecrets organic tea infusion  pure tulsi   g,5,33
nutrition energy bar   almonds   raisins,5,119
rava idli instant mix,5,7
organic homestyle mixed veg pickle   north style  no added preservatives  tangy   spicy,5,120
gems home treats pack,5,122
puff sheet squares,5,114
nutrition energy bar   dates   walnut,5,119
gooddiet quinoa muesli nuts   seeds    g   jus amazin organic peanut butter    g,5,82
breakfast   multi millet muesli with fruits nuts   berries,5,82
nutrition energy bar   pumpkin seeds   cranberries,5,119
dark fantasy   choco creme  made with real chocolate,5,70
green chilli sauce,5,125
premium wafer bites   orange     g   hazelnut     g   cappucino     g,5,70
organic jamun honey,5,33
red chilli sauce,5,125
jeera cookies,5,79
sugar free butter cookies,5,79
mini samosa,5,65
premium wafer bites   strawberry,5,70
five famous authentic kerala snacks,5,65
potato chips   classic salted,5,75
instant veggie upma with vegetables,5,7
eggless premium vanilla cake mix,5,78
premium wafer bites   orange,5,70
eggless premium chocolate cake mix,5,78
millet dosa mix   supergrains   spinach,5,7
millet dosa mix   supergrains   beetroot,5,7
most popular authentic indian mixtures,5,65
besan laddoo   pure ghee preparation   traditional indian sweet,5,131
dry fruit kachori,5,65
moong dal pista laddoo   made in pure ghee,5,131
chicken overload pizza,5,133
maharashtra masala corn chivda   crispy,5,65
nutrition energy bar   gojiberry  blackcurrant   cashews,5,119
  min yum pasta   with red sauce,5,134
waffy strawberry flavoured rolls   creamy,5,70
desi chat combo,5,135
peanut butter   crunchy       natural  unsweetened  no added sugar ,5,136
five famous authentic madhya pradesh snacks,5,65
amazing spicy mint sauce,5,135
nutrition energy bar   tropical mango  ginger   sesame seeds,5,119
refresh   coconut lime bar  plant based protein  instant energy,5,119
mumbai schezwan mayhem   pungent   spicy flavour,5,135
alfredo pasta sauce,5,66
multigrain strawberry fills breakfast cereal   high protein  fibre power,5,122
milk choco spread,5,136
cashew badam cookies,5,79
cooking paste   hyderabadi biryani  ready to cook indian paste  no preservatives,5,143
tomato ketchup   tangy flavour,5,66
jeera papad   big  fresh   cripsy  traditional taste,5,145
papad   punjabi masala special,5,145
angoori petha,5,151
centre filled choco kiss cookies,5,79
white choco cashew nutty cookies,5,79
muesli wholegrain breakfast   rich in fibre   protein  zero sugar added  coffeeluv,5,82
fish pickle,5,157
nutrify honey roasted oats with peanut butter  almonds   cranberries   premium granola,5,136
instant multigrain rava dosa ready mix   millets   more  kodo  little millet   jowar,5,7
fruit fills   apple flavour  made with healthy  nutritious ingredients  soft,5,79
choco spread calcium  hazelnut spread  uses premium chocolate,5,136
choco spread crunchy quinoa  hazelnut spread  uses premium chocolate,5,136
green chilly sabudana papad,5,145
mint sabudana papad,5,145
masala french fries   chilli garlic,5,114
baguette   garlic bread,5,114
waffy kulfi flavoured wafer roll   creamy  crunchy,5,70
pasta   elbow macaroni,5,98
corn flakes   with real almonds   honey  fibre rich breakfast,5,164
pasta   penne,5,98
spaghetti pasta   durum wheat,5,98
sriracha chilli sauce   enhances flavour,5,125
multi grain chocolate cake mix   wheat   maida free,5,78
crunchy muesli   oat clusters with raisins  gluten free  healthy breakfast,5,82
chocolate essence,5,78
strawberry essence,5,78
namkeen   indori poha mixture  teatime snack,5,65
kerala rice namkeen murukku   crispy,5,65
tomato ketchup,5,66
veg hakka noodles   authentic chinese  hygienic   non sticky,5,168
indian wheat cracker   ajwain bhakhri,5,65
indian wheat cracker   jeera bhakhri,5,65
snacks   spice mania,5,75
organic wild forest honey   nmr tested       pure,5,33
premium malabar paratha,5,129
spinach cheese pockets,5,114
soya shami kebab,5,114
oozy cheesy   corn bite,5,114
quinoa patty,5,114
desi szechwan chutney,5,135
organic homestyle ginger pickle   north style  no added preservatives,5,120
corn flakes plus   original   healthier,5,164
amori pasta   goodness of chickpea  red lentil   brown rice  high protein   fibre,5,98
berry crunch breakfast cereal   ragi stars   moons  healthy millet  no maida sugar,5,49
oatmeal digestive cookies,5,89
super food millet mexican salsa khichdi   ready to cook  rich in protein,5,7
health drink   millet vita,5,7
oats pongal,5,7
little millet pongal,5,7
poha instant mix,5,7
special salted cashews    protein rich  gluten free  healthy snack,5,65
samosa dough sheet,5,114
cocoa nut hazelnut chocolatey spread,5,136
natural honey   multiflora,5,33
superstar bombay sandwich chutney   tangy   spicy,5,135
masala chicken momos     pcs   chicken darjeeling momos     pcs,5,133
dairy milk bites   almonds  roasted   chocolate coated  rich   luscious dessert,5,58
indian snack box   authentic   traditional style,5,65
chef chilli chinese gravy,5,143
schezwan stir fry sauce,5,66
milk cookies,5,79
oats dalia        natural  whole grain  rich in protein   fibre  healthy,5,27
steel cut oats        natural  whole grain  rich in protein   fibre  healthy,5,27
original extra virgin olive oil,6,10
extra virgin olive oil,6,10
california almonds,6,36
cashews   whole       natural premium,6,38
nacho chips   jalapeno,6,39
nacho chips   cheese,6,39
almond badam californian    g   indian raisins    g   cashew w        g,6,36
durum wheat pasta   spaghetti,6,32
     natural premium californian almonds,6,36
durum wheat pasta   farfalle,6,32
almond badam californian    g   cashew kaju whole    g,6,36
extra light olive oil,6,73
nacho chips   peri peri,6,39
ragi sticks   achari masala,6,77
durum wheat pasta   macaroni,6,32
strawberry conserve,6,80
roasted almond barks   snacking chocolate,6,81
premium international queen kalmi dates,6,36
sliced jalapenos,6,86
quinoa puffs   spicy garlic,6,77
happychef      durum wheat pasta spaghetti    g   knorr pizza pasta sauce    g,6,32
fruit seeds nuts snacks,6,38
dry fruit mix,6,36
mixed fruit,6,36
nacho chips   sweet chilli,6,39
sweet   salty dry fruit munchies,6,36
organic cold pressed virgin coconut oil,6,94
pasta   penne whole wheat,6,32
black chia seeds,6,36
seeds mix,6,38
     pure cocoa butter premium chocolates,6,97
white quinoa grains,6,99
mini quinoa puffs   cheese  n  herbs,6,77
amla candy,6,36
amla dry fruit,6,36
canola oil,6,101
multigrain puffs   butter makhana,6,77
pasta   fusilli whole wheat,6,32
happychef      durum wheat pasta macaroni    g   knorr pizza pasta sauce    g,6,32
  g whey protein bar   double chocolate caramel,6,100
roasted chana jor   lime,6,77
multigrain chips   sour cream   onion,6,77
fruits   nuts,6,36
pitted black olives,6,86
multigrain balls   chilli chataka,6,77
     natural premium californian inshell walnut,6,36
dark baking bar,6,112
assorted gift box   pure belgian chocolate truffles,6,97
pizza topping,6,86
dry fruit strawberry,6,36
milk chocolate bar   pure belgian,6,97
pasta   quinoa,6,32
happychef durum wheat pasta penne rigate    g   knorr pizza pasta sauce    g,6,32
  g whey protein bar   kesar almond fudge,6,100
ancient red rice,6,99
dry fruit mango   vegan,6,36
     durum wheat pasta   fusilli,6,32
multi millet muesli   with fruits  nuts   berries,6,100
multigrain puffs   tangy tomato,6,77
happychef      durum wheat pasta fusilli     g   knorr pizza pasta sauce    g,6,32
pasta   multi millet,6,32
durum wheat pasta   fusilli,6,32
premium californian roasted   salted pistachios   value pack,6,36
no added sugar   pure belgian white chocolate,6,97
multigrain bread chips   chilli orange,6,77
     belgian dark chocolate   with apricot      cocoa solids,6,97
happychef durum wheat pasta farfalle    g   knorr pizza pasta sauce    g,6,32
dry fruit apricot,6,36
thin whole wheat hakka noodles        atta  for restaurant style asian food,6,127
durum wheat pasta   kids  pink,6,32
premium veg mayo dip   spread,6,83
raisins dark chocolate bar   pure belgian,6,97
dry fruit pineapple,6,36
premium hakka noodles   thin cut       veg  soft  silky texture,6,127
durum wheat kidz pasta   blue,6,32
     belgian milk chocolate   sea salt      cocoa solids,6,97
crunchy caramel   pure belgian milk chocolate,6,97
dry fruit black grape,6,36
classic sultan dates,6,36
sweet potato chips   mexican twist flavour      less fat,6,39
kashmiri kahwa green tea   provides glowing skin   boosts immunity,6,137
natural peanut butter   unsweetened  high in protein  creamy  helps manage weight,6,140
seedless black raisins   afghani  premium quality  no cholesterol,6,36
choco spread   almond,6,36
almond butter   unsweetened  creamy  rich in antioxidant  protein   fibre  lactose free,6,80
figaro olive oil  pure olive oil ideal for indian dishes  imported from spain     ml tin,6,73
figaro olive oil  pure olive oil daily cooking oil  perfect for indian dishes  curries  gravy  imported from spain   l tin,6,73
figaro olive oil  pure olive oil daily cooking oil  perfect for indian dishes  curries  gravy  imported from spain   l tin,6,73
roasted jowar flakes mixture   tomato  n  mint,6,77
ayurveda mix triphala herbal tea   boosts immunity,6,137
turmeric water elixir  traditional spice blend   high curcumin lakadong turmeric,6,144
monofloral nectar honey from himalayas   litchi flowers,6,146
multifloral little bee honey   sidr   sullia wild honey  kids edition,6,146
candy with goodness of desi ghee   premium quality,6,97
nilgiri green tea   taizen cinnamon       natural  loose leaf,6,137
nilgiri green tea   yakuso tulsi       natural  loose leaf,6,137
red velvet cake mix,6,126
green tea   with peppermint leaves  grown fresh,6,137
green tea   with rose petals,6,137
snacks   roasted melon n flaxseeds,6,77
sweet cherries   iqf,6,36
momo hot sauce,6,154
jalapeno lime seasoning   contains organic spices,6,156
pineapple dark chocolate crispies,6,81
munakka raisins   rich in antioxidants   vitamins  slows premature ageing,6,36
eggless mithai macarons,6,81
turkish baklava,6,81
hi protein slim meal shake   coffee   caramel     servings,6,144
hi protein slim meal shake   pistachio   almond     servings,6,144
roasted flaxseed   black salt,6,77
roasted chana red dal   split masala,6,77
roasted diet snack   chilli lime,6,77
potato chips   simple snack  original flavour,6,39
classic white chocolate crispies,6,81
ashwagandha green tea   boosts immunity,6,137
     pure olive oil,6,73
chamomile tea bags,6,137
coconut water with mango,6,159
coconut water with pink guava,6,159
coconut water with pineapple,6,159
creamy peanut butter,6,140
effervescent tablets   melatonin sleep  enhances focus  stress relief  cranberry flavour,6,144
baked beans in rich tomato sauce,6,102
olive leaf infusion   olive   basil leaves,6,137
apple cider vinegar,6,161
immune warrior immunity booster green tea,6,137
miracle mint tea,6,137
south african rooibos tea,6,137
assorted hot brew bags   high quality arabica beans blend  easy to use,6,162
organic chia seeds   raw  unroasted  rich in omega    fibre  protein,6,38
sweet potato chips   cheese please flavour      less fat,6,39
darjeeling oolong tea   tapas  may help in managing weight,6,137
amla   mint herbal infusion,6,137
taco seasoning chicken,6,156
naan chips   tez tandoori,6,39
organic cold pressed coconut oil,6,94
spicy fat free refried beans,6,102
kimaya white tea   provides glowing skin,6,137
moringa   mint herbal infusion,6,137
english breakfast tea   provides energy,6,137
kumud oolong tea   helps to manage weight,6,137
premium kacha aam candy   provides freshness  tangy   sweet taste,6,165
roasted   salted   pistachios,6,38
impatient baker   easy pizza dough mix  easy to make,6,126
arrabbiata pasta sauce with black olives,6,154
nilgiri black tea   hozo orange pekoe       natural  loose leaf,6,137
global darjeeling oolong tea   tapas       natural  freshest leaves,6,137
assam black tea bags,6,137
coffee white chocolate crispies,6,81
potato chips  african peppers flavour      less fat,6,39
flour tortillas,6,39
peanut butter smooth   rich in protein  no cholesterol   gluten free,6,140
premium international healthy nutmix,6,36
multifloral nectar honey   forest flowers  rich in minerals  builds immunity,6,146
effervescent tablets   green tea lean  antioxidants rich  detoxifying   tulsi flavour,6,144
chips   pita  parmesan and mediterranean,6,39
chips   pita  jalapeno,6,39
red currant   iqf,6,36
spice green tea with ashwagandha,6,144
baby gherkins,6,86
coffee   provides strength  latte flavour,6,162
sauce   sweet chill   sugar free ,6,154
figaro extra virgin olive oil       natural and cold extracted  perfect for salad  paratha  marinade   imported from spain     ml bottle,6,10
impatient baker   eggless chewy chocolate cookie mix  easy to bake,6,126
pineapple green tea   helps to detox,6,137
nuts   seeds bar   cranberry   almond,6,100
toasted millet muesli fig   honey with salted pistachios,6,152
toasted millet muesli dark chocolate   orange peel,6,152
olive leaf infusion   olive   lemongrass,6,137
olive leaf infusion   olive   mint leaves,6,137
    mild dark chocolate with amazon pink pepper,6,81
crunchy dark chocolate peanut butter   sweet   salty  protein rich,6,140
pink salt grinder,6,171
cashew brittle   with jaggery,6,81
marinade sauce   medium peri peri,6,154
basil hummus dip   spread,6,88
assorted crispy treats,6,81
natural raw adivasi honey   boosts immunity,6,146
coated nuts almonds covered with milk choco,6,97
chipotle mayo   light   creamy  made with fresh ingredients,6,154
tea bags   peach apricot,6,137
chatpata rajma chips,6,77
oats bhujia   jalape o,6,77
raagi bhujia   heeng jeera,6,77
fruit drink   juicy apple  with the goodness of malt,6,175
strawberry green tea,6,137
gourmet popcorn kernels   gluten free  fresh   crunchy,6,38
    dark chocolate   signature blend multi origin,6,97
honey,6,146
coffee delight,6,162
rose glow black tea make brew iced tea or hot tea,6,137
no added sugar protein bar with whey   almond   hazelnut  provides energy,6,100
effervescent tablets   apple cider vinegar  vitamins   antioxidants rich  for immunity  gut health  green apple flavour,6,144
szechwan original sauce,6,154
roasted nutri mixture   lime,6,77
roasted sprouted mixture   plain,6,77
roasted quinoa puff   jalapeno,6,77
apple cider vinegar with mother   honey,6,161
sugarless multigrain protein cookies   crispy  crunchy,6,77
kadha green tea   boosts immunity,6,137
chocolate hazelnut spread,6,140
green tea extract   antioxidant powder with egcg,6,137
sephra fruit center filled choco assortments ,6,165
wellness tea assortment tea bags box,6,137
impatient baker   eggless fudge brownie mix  easy to bake,6,126
assam masala chai tea   provides energy,6,137
multigrain atta        natural  goodness of   grains  chakki ground  healthy,6,126
organic white quinoa        natural  rich in protein  gluten free,6,99
organic tricolor quinoa        natural  rich in protein  gluten free,6,99
organic chia seeds         natural  rich in omega     antioxidants  superfood,6,38
orange   mango oolong tea bags make brew iced tea or hot tea,6,137
durum wheat pasta   elbow macaroni,6,32
organic apple cider vinegar with amla  turmeric  cinnamon   black pepper  usda certified,6,161
olive oil,6,73
farm quail eggs   table tray  medium  antibiotic residue free,1,1
quail eggs   regular,1,1
